Solar proton flux
Energy (MeV/u),Differential flux (cm-2.s-1.(MeV/u)-1),Integral flux (cm-2.s-1)   
1.000e+00,1.1285e+03,1.9420e+03
3.000e+00,2.6877e+02,7.6399e+02
5.000e+00,9.5861e+01,4.7544e+02
7.000e+00,5.0867e+01,3.4106e+02
1.000e+01,2.6191e+01,2.3530e+02
1.500e+01,1.1968e+01,1.4957e+02
2.000e+01,6.6914e+00,1.0572e+02
2.500e+01,4.2412e+00,7.9426e+01
3.000e+01,2.9060e+00,6.1977e+01
3.500e+01,2.0868e+00,4.9697e+01
4.000e+01,1.5615e+00,4.0726e+01
4.500e+01,1.2019e+00,3.3870e+01
5.000e+01,9.4522e-01,2.8560e+01
5.500e+01,7.5867e-01,2.4327e+01
6.000e+01,6.1720e-01,2.0908e+01
7.000e+01,4.2395e-01,1.5804e+01
8.000e+01,3.0208e-01,1.2227e+01
9.000e+01,2.2132e-01,9.6422e+00
1.000e+02,1.6694e-01,7.7259e+00
1.250e+02,8.7733e-02,4.6587e+00
1.500e+02,4.9093e-02,3.0131e+00
1.750e+02,2.9452e-02,2.0628e+00
2.000e+02,1.8844e-02,1.4756e+00
2.250e+02,1.2624e-02,1.0893e+00
2.500e+02,8.9014e-03,8.2667e-01
2.750e+02,6.3974e-03,6.3584e-01
3.000e+02,4.5925e-03,4.9986e-01
